Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Middletown,MDT,10:30,2023-06-04,"['AA5937', 'B64650', 'QR2220']","['American Airlines', 'JetBlue Airways', 'Qatar Airways']",B,Landed - On-time [+],09:00,2023-06-04,08:51,2023-06-04,10:30,2023-06-04,10:31,2023-06-04,
Nantucket,ACK,10:33,2023-06-04,['9K5521'],['Cape Air'],C,Landed - On-time [+],09:45,2023-06-04,09:25,2023-06-04,10:33,2023-06-04,10:10,2023-06-04,Cessna (Light aircraft)
Fort Lauderdale,FLL,10:33,2023-06-04,['NK610'],['Spirit Airlines'],B,Landed - On-time [+],07:20,2023-06-04,07:21,2023-06-04,10:33,2023-06-04,10:34,2023-06-04,
New York,LGA,10:34,2023-06-04,"['B62432', 'AA9426']","['JetBlue Airways', 'American Airlines']",C,Landed - On-time [+],09:15,2023-06-04,09:07,2023-06-04,10:34,2023-06-04,10:06,2023-06-04,
Martha's Vineyard,MVY,10:40,2023-06-04,"['9K3001', 'B65192']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],10:00,2023-06-04,09:45,2023-06-04,10:40,2023-06-04,10:30,2023-06-04,Cessna (Light aircraft)
Milwaukee,MKE,10:45,2023-06-04,"['DL3503', 'KE3992', 'VS2872']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],07:23,2023-06-04,07:19,2023-06-04,10:45,2023-06-04,10:40,2023-06-04,
Washington,DCA,10:46,2023-06-04,"['AA2152', 'B64287']","['American Airlines', 'JetBlue Airways']",B,Landed - On-time [+],09:00,2023-06-04,08:54,2023-06-04,10:46,2023-06-04,10:25,2023-06-04,
Newark,EWR,10:51,2023-06-04,['UA1297'],['United Airlines'],B,Landed - On-time [+],09:29,2023-06-04,09:32,2023-06-04,10:51,2023-06-04,10:36,2023-06-04,
Miami,OPF,10:51,2023-06-04,['TWY33'],['Solairus Aviation'],,Landed - On-time [+],08:03,2023-06-04,08:11,2023-06-04,10:51,2023-06-04,10:37,2023-06-04,
Philadelphia,PHL,10:53,2023-06-04,"['B6360', 'EI5207', 'FI7854', 'HA2156', 'QR3933', 'TP4350']","['JetBlue Airways', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - On-time [+],09:25,2023-06-04,09:17,2023-06-04,10:53,2023-06-04,10:27,2023-06-04,
Minneapolis,MSP,10:55,2023-06-04,"['DL1252', 'KE3495']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],07:05,2023-06-04,07:12,2023-06-04,10:55,2023-06-04,11:05,2023-06-04,
Chicago,ORD,10:56,2023-06-04,"['UA1803', 'NZ2095']","['United Airlines', 'Air New Zealand']",B,Landed - Delayed [+],07:34,2023-06-04,09:07,2023-06-04,10:56,2023-06-04,12:45,2023-06-04,
Nantucket,ACK,11:02,2023-06-04,['CNS242'],['PlaneSense'],,Landed - Delayed [+],10:30,2023-06-04,11:34,2023-06-04,11:02,2023-06-04,12:06,2023-06-04,
