location	b	ra_at_1in100	pathogen	tidy_name	taxids	predictor_type	study
Overall	-1.119546905302354	1.62610755470297e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3836559886927377	3.394240061785904e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.0635025064149517	1.7198439247016473e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.8460589010447045	2.137585901487368e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7458830803755939	2.362813114868987e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.5938401282888308	9.021182741606306e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.0961719191308128	4.524756900436724e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.442228962845209	7.752104937215495e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	1.6480266234492704	2.5887500818797557e-06	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2971111672196165	3.7010800643148593e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.0972726083206656	6.116858496459721e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	3.037584696447863	1.0388770241454484e-05	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.002106662654981	6.727573889206523e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4532970189861087	3.165904789108928e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.9540239747066716	1.2932698931771262e-06	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.144268765085524	5.8360400499355466e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.5857970365314835	1.0201391964666205e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4021933009505464	3.331899592391858e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-4.567811910868337	5.171146859465087e-09	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.5169571108960881	2.9706441525968105e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7115493614547153	2.44534597911279e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4021933009505464	3.331899592391858e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-4.081598228140206	8.409047193483907e-09	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.3222705968078833	6.875787159211999e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.6215356981177371	9.843245856127546e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4021933009505464	3.331899592391858e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7554405213349996	2.3403382455087798e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.2881334402558622	1.37383025583059e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6981714628642912	2.4782793600804845e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4021933009505464	3.331899592391858e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.860080012330961	2.1078237150415402e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.3678378844451115	7.196345937139158e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.646478584951654	9.600763587639012e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4021933009505464	3.331899592391858e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.5335015490488545	2.921900855555548e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.2263214269259776	6.246723122834875e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-4.3171408548100665	6.644341220933093e-09	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4021933009505464	3.331899592391858e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.5266231402141773	8.434736869194119e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.1264955608789743	4.389609293022641e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.6356697697494504	9.705099313981606e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.5714133147347933	2.8132000060438096e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.5937141457824997	2.751157694079366e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4805371252821686	3.080829226983445e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.1871692667621282	6.006876460474666e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4954658608879564	3.035177961646159e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.0055886098324934	4.953761160433314e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.5139000848814383	1.0961850649523588e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.9602071565364874	1.9069953274754922e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7839052348802747	2.2746603881115717e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.494725842698269	1.1174063816830537e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.4431047976842883	3.1983373803319494e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.0847214685639974	1.683735078631482e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7839052348802747	2.2746603881115717e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.2012113726697516	6.091820606092622e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2497964285536496	3.880404524377391e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6022307283762425	2.727826729803181e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7839052348802747	2.2746603881115717e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.5315787418339645	2.927524510826866e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.301199172992296	3.6859809169522957e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.8030355400799585	2.231559035853947e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7839052348802747	2.2746603881115717e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.57339005963283	1.0328748809047675e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
